Dex,Name,Type1,Type2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total,Level-Up Moves
451,Skorupi,Poison,Bug,40,50,90,30,55,65,330,Poison Sting (Lv 1); Leer (Lv 1); Hone Claws (Lv 3); Fell Stinger (Lv 6); Poison Fang (Lv 9); Bite (Lv 12); Toxic Spikes (Lv 15); Bug Bite (Lv 18); Venoshock (Lv 21); Knock Off (Lv 24); Scary Face (Lv 27); Pin Missile (Lv 30); Toxic (Lv 33); Night Slash (Lv 36); Cross Poison (Lv 39); X-Scissor (Lv 42); Acupressure (Lv 45); Crunch (Lv 48)
452,Drapion,Poison,Dark,70,90,110,60,75,95,500,Thunder Fang (Lv 1); Ice Fang (Lv 1); Fire Fang (Lv 1); Poison Sting (Lv 1); Leer (Lv 1); Hone Claws (Lv 1); Fell Stinger (Lv 1); Poison Fang (Lv 9); Bite (Lv 12); Toxic Spikes (Lv 15); Bug Bite (Lv 18); Venoshock (Lv 21); Knock Off (Lv 24); Scary Face (Lv 27); Pin Missile (Lv 30); Toxic (Lv 33); Night Slash (Lv 36); Cross Poison (Lv 39); X-Scissor (Lv 44); Acupressure (Lv 49); Crunch (Lv 54)
453,Croagunk,Poison,Fighting,48,61,40,61,40,50,300,Poison Sting (Lv 1); Mud-Slap (Lv 1); Astonish (Lv 4); Taunt (Lv 8); Flatter (Lv 12); Low Kick (Lv 16); Venoshock (Lv 20); Sucker Punch (Lv 24); Swagger (Lv 28); Poison Jab (Lv 32); Toxic (Lv 36); Nasty Plot (Lv 40); Sludge Bomb (Lv 44); Belch (Lv 48)
454,Toxicroak,Poison,Fighting,83,106,65,86,65,85,490,Poison Sting (Lv 1); Mud-Slap (Lv 1); Taunt (Lv 1); Astonish (Lv 1); Flatter (Lv 12); Low Kick (Lv 16); Venoshock (Lv 20); Sucker Punch (Lv 24); Swagger (Lv 28); Poison Jab (Lv 32); Toxic (Lv 36); Nasty Plot (Lv 42); Sludge Bomb (Lv 48); Belch (Lv 54)
455,Carnivine,Grass,,74,100,72,90,72,46,454,Bind (Lv 1); Growth (Lv 1); Bite (Lv 7); Vine Whip (Lv 11); Sweet Scent (Lv 17); Ingrain (Lv 21); Feint Attack (Lv 27); Leaf Tornado (Lv 31); Stockpile (Lv 37); Spit Up (Lv 37); Swallow (Lv 37); Crunch (Lv 41); Wring Out (Lv 47); Power Whip (Lv 50)
456,Finneon,Water,,49,49,56,49,61,66,330,Pound (Lv 1); Water Gun (Lv 6); Rain Dance (Lv 13); Gust (Lv 17); Water Pulse (Lv 22); Attract (Lv 26); Safeguard (Lv 29); Aqua Ring (Lv 33); Whirlpool (Lv 38); U-turn (Lv 42); Bounce (Lv 45); Tailwind (Lv 49); Soak (Lv 54)
457,Lumineon,Water,,69,69,76,69,86,91,460,Pound (Lv 1); Gust (Lv 1); Water Gun (Lv 1); Soak (Lv 1); Rain Dance (Lv 13); Water Pulse (Lv 22); Attract (Lv 26); Safeguard (Lv 29); Aqua Ring (Lv 35); Whirlpool (Lv 42); U-turn (Lv 48); Bounce (Lv 53); Tailwind (Lv 59)
458,Mantyke,Water,Flying,45,20,50,60,120,50,345,Tackle (Lv 1); Water Gun (Lv 1); Supersonic (Lv 4); Wing Attack (Lv 8); Water Pulse (Lv 12); Wide Guard (Lv 16); Agility (Lv 20); Bubble Beam (Lv 24); Headbutt (Lv 28); Air Slash (Lv 32); Aqua Ring (Lv 36); Bounce (Lv 40); Take Down (Lv 44); Hydro Pump (Lv 48)
459,Snover,Grass,Ice,60,62,50,62,60,40,334,Leer (Lv 1); Powder Snow (Lv 1); Leafage (Lv 5); Mist (Lv 10); Ice Shard (Lv 15); Razor Leaf (Lv 20); Icy Wind (Lv 25); Swagger (Lv 30); Ingrain (Lv 35); Wood Hammer (Lv 41); Blizzard (Lv 45); Sheer Cold (Lv 50)
460,Abomasnow,Grass,Ice,90,92,75,92,85,60,494,Ice Punch (Lv 0); Leer (Lv 1); Mist (Lv 1); Powder Snow (Lv 1); Leafage (Lv 1); Aurora Veil (Lv 1); Ice Shard (Lv 15); Razor Leaf (Lv 20); Icy Wind (Lv 25); Swagger (Lv 30); Ingrain (Lv 35); Wood Hammer (Lv 43); Blizzard (Lv 49); Sheer Cold (Lv 56)
461,Weavile,Dark,Ice,70,120,65,45,85,125,510,Scratch (Lv 1); Leer (Lv 1); Agility (Lv 1); Quick Attack (Lv 1); Assurance (Lv 1); Taunt (Lv 1); Slash (Lv 1); Beat Up (Lv 1); Ice Shard (Lv 1); Metal Claw (Lv 18); Icy Wind (Lv 24); Fury Swipes (Lv 30); Hone Claws (Lv 36); Fling (Lv 42); Nasty Plot (Lv 48); Screech (Lv 54); Night Slash (Lv 60); Dark Pulse (Lv 66)
462,Magnezone,Electric,Steel,70,70,115,130,90,60,535,Electric Terrain (Lv 1); Mirror Coat (Lv 1); Magnetic Flux (Lv 1); Tri Attack (Lv 1); Tackle (Lv 1); Thunder Wave (Lv 1); Thunder Shock (Lv 1); Supersonic (Lv 1); Electro Ball (Lv 12); Gyro Ball (Lv 16); Spark (Lv 20); Screech (Lv 24); Magnet Rise (Lv 28); Flash Cannon (Lv 34); Discharge (Lv 40); Metal Sound (Lv 46); Light Screen (Lv 52); Lock-On (Lv 58); Zap Cannon (Lv 64)
463,Lickilicky,Normal,,110,85,95,80,95,50,515,Lick (Lv 1); Defense Curl (Lv 1); Rollout (Lv 1); Supersonic (Lv 1); Wrap (Lv 18); Disable (Lv 24); Stomp (Lv 30); Knock Off (Lv 36); Screech (Lv 42); Slam (Lv 48); Power Whip (Lv 54); Belly Drum (Lv 60)
464,Rhyperior,Ground,Rock,115,140,130,55,55,40,535,Tackle (Lv 1); Tail Whip (Lv 1); Hammer Arm (Lv 1); Smack Down (Lv 1); Bulldoze (Lv 1); Horn Attack (Lv 15); Scary Face (Lv 20); Stomp (Lv 25); Rock Blast (Lv 30); Drill Run (Lv 35); Take Down (Lv 40); Earthquake (Lv 47); Stone Edge (Lv 54); Megahorn (Lv 61); Horn Drill (Lv 68); Rock Wrecker (Lv 75)
465,Tangrowth,Grass,,100,100,125,110,50,50,535,Block (Lv 1); Absorb (Lv 1); Bind (Lv 1); Stun Spore (Lv 1); Growth (Lv 1); Mega Drain (Lv 12); Vine Whip (Lv 16); Poison Powder (Lv 20); Ancient Power (Lv 24); Knock Off (Lv 28); Giga Drain (Lv 32); Sleep Powder (Lv 36); Slam (Lv 40); Tickle (Lv 44); Power Whip (Lv 48); Ingrain (Lv 52); Grassy Terrain (Lv 56)
466,Electivire,Electric,,75,123,67,95,85,95,540,Leer (Lv 1); Thunder Shock (Lv 1); Quick Attack (Lv 1); Charge (Lv 1); Swift (Lv 12); Shock Wave (Lv 16); Thunder Wave (Lv 20); Screech (Lv 24); Thunder Punch (Lv 28); Discharge (Lv 34); Low Kick (Lv 40); Thunderbolt (Lv 46); Light Screen (Lv 52); Thunder (Lv 58); Giga Impact (Lv 64)
467,Magmortar,Fire,,75,95,67,125,95,83,540,Leer (Lv 1); Ember (Lv 1); Smokescreen (Lv 1); Smog (Lv 1); Clear Smog (Lv 12); Flame Wheel (Lv 16); Confuse Ray (Lv 20); Scary Face (Lv 24); Fire Punch (Lv 28); Lava Plume (Lv 34); Low Kick (Lv 40); Flamethrower (Lv 46); Sunny Day (Lv 52); Fire Blast (Lv 58); Hyper Beam (Lv 64)
468,Togekiss,Fairy,Flying,85,50,95,120,115,80,545,Air Slash (Lv 0); Fairy Wind (Lv 1); Sky Attack (Lv 1); Aura Sphere (Lv 1); Extreme Speed (Lv 1); Tri Attack (Lv 1); Charm (Lv 1); Ancient Power (Lv 1); Yawn (Lv 1); Metronome (Lv 1); After You (Lv 1); Double-Edge (Lv 1); Safeguard (Lv 1); Follow Me (Lv 1); Baton Pass (Lv 1); Last Resort (Lv 1); Wish (Lv 1); Growl (Lv 1); Pound (Lv 1); Sweet Kiss (Lv 1); Life Dew (Lv 1)
469,Yanmega,Bug,Flying,86,76,86,116,56,95,515,Tackle (Lv 1); Double Team (Lv 1); Night Slash (Lv 1); Air Slash (Lv 1); Bug Buzz (Lv 1); Quick Attack (Lv 14); Detect (Lv 17); Supersonic (Lv 22); Uproar (Lv 27); Bug Bite (Lv 30); Ancient Power (Lv 33); Feint (Lv 38); Slash (Lv 43); Screech (Lv 46); U-turn (Lv 49)
470,Leafeon,Grass,,65,110,130,60,65,95,525,Razor Leaf (Lv 0); Swift (Lv 1); Tackle (Lv 1); Take Down (Lv 1); Double-Edge (Lv 1); Tail Whip (Lv 1); Bite (Lv 1); Growl (Lv 1); Copycat (Lv 1); Covet (Lv 1); Helping Hand (Lv 1); Charm (Lv 1); Baton Pass (Lv 1); Sand Attack (Lv 5); Quick Attack (Lv 10); Baby-Doll Eyes (Lv 15); Leech Seed (Lv 20); Magical Leaf (Lv 25); Synthesis (Lv 30); Sunny Day (Lv 35); Giga Drain (Lv 40); Swords Dance (Lv 45); Leaf Blade (Lv 50); Last Resort (Lv 55)
471,Glaceon,Ice,,65,60,110,130,95,65,525,Icy Wind (Lv 0); Charm (Lv 1); Tackle (Lv 1); Take Down (Lv 1); Double-Edge (Lv 1); Tail Whip (Lv 1); Growl (Lv 1); Swift (Lv 1); Copycat (Lv 1); Covet (Lv 1); Baton Pass (Lv 1); Helping Hand (Lv 1); Sand Attack (Lv 5); Quick Attack (Lv 10); Baby-Doll Eyes (Lv 15); Ice Shard (Lv 20); Bite (Lv 25); Ice Fang (Lv 30); Snowscape (Lv 35); Freeze-Dry (Lv 40); Mirror Coat (Lv 45); Blizzard (Lv 50); Last Resort (Lv 55)
472,Gliscor,Ground,Flying,75,95,125,45,75,95,510,Sand Attack (Lv 1); Harden (Lv 1); Poison Jab (Lv 1); Thunder Fang (Lv 1); Ice Fang (Lv 1); Fire Fang (Lv 1); Quick Attack (Lv 13); Fury Cutter (Lv 16); Knock Off (Lv 19); Acrobatics (Lv 22); Night Slash (Lv 27); U-turn (Lv 30); Screech (Lv 35); X-Scissor (Lv 40); Crabhammer (Lv 45); Swords Dance (Lv 50)
473,Mamoswine,Ice,Ground,110,130,80,70,60,80,530,Double Hit (Lv 0); Tackle (Lv 1); Flail (Lv 1); Powder Snow (Lv 1); Mud-Slap (Lv 1); Ancient Power (Lv 1); Ice Fang (Lv 1); Ice Shard (Lv 15); Mist (Lv 20); Endure (Lv 25); Icy Wind (Lv 30); Amnesia (Lv 37); Take Down (Lv 44); Earthquake (Lv 51); Blizzard (Lv 58); Thrash (Lv 65)
474,Porygon-Z,Normal,,85,80,70,135,75,90,535,Conversion (Lv 1); Nasty Plot (Lv 1); Magnet Rise (Lv 1); Recycle (Lv 1); Trick Room (Lv 1); Defense Curl (Lv 1); Tackle (Lv 1); Thunder Shock (Lv 15); Psybeam (Lv 20); Conversion 2 (Lv 25); Agility (Lv 30); Recover (Lv 35); Discharge (Lv 40); Tri Attack (Lv 45); Double-Edge (Lv 50); Lock-On (Lv 55); Zap Cannon (Lv 60); Hyper Beam (Lv 65)
475,Gallade,Psychic,Fighting,68,125,65,65,115,80,518,Slash (Lv 0); Night Slash (Lv 1); Imprison (Lv 1); Life Dew (Lv 1); Future Sight (Lv 1); Fury Cutter (Lv 1); Sacred Sword (Lv 1); Charm (Lv 1); Disarming Voice (Lv 1); Calm Mind (Lv 1); Leaf Blade (Lv 1); Double Team (Lv 1); Draining Kiss (Lv 1); Hypnosis (Lv 1); Psychic (Lv 1); Confusion (Lv 1); Psybeam (Lv 1); Growl (Lv 1); Leer (Lv 1); Dream Eater (Lv 1); Aqua Cutter (Lv 1); Helping Hand (Lv 9); Feint (Lv 12); Teleport (Lv 15); Aerial Ace (Lv 18); False Swipe (Lv 23); Protect (Lv 28); Swords Dance (Lv 35); Psycho Cut (Lv 42); Heal Pulse (Lv 49); Wide Guard (Lv 56); Quick Guard (Lv 56); Close Combat (Lv 63)
476,Probopass,Rock,Steel,60,55,145,75,150,40,525,Tri Attack (Lv 0); Magnetic Flux (Lv 1); Magnet Rise (Lv 1); Gravity (Lv 1); Block (Lv 1); Wide Guard (Lv 1); Iron Defense (Lv 1); Tackle (Lv 1); Thunder Wave (Lv 13); Rest (Lv 16); Spark (Lv 19); Rock Slide (Lv 22); Power Gem (Lv 25); Rock Blast (Lv 28); Discharge (Lv 31); Sandstorm (Lv 34); Earth Power (Lv 37); Stone Edge (Lv 40); Zap Cannon (Lv 43); Lock-On (Lv 43)
477,Dusknoir,Ghost,,45,100,135,65,135,45,525,Fire Punch (Lv 1); Ice Punch (Lv 1); Thunder Punch (Lv 1); Bind (Lv 1); Leer (Lv 1); Disable (Lv 1); Shadow Sneak (Lv 1); Gravity (Lv 1); Shadow Punch (Lv 1); Astonish (Lv 1); Confuse Ray (Lv 12); Night Shade (Lv 16); Payback (Lv 20); Will-O-Wisp (Lv 24); Mean Look (Lv 28); Hex (Lv 32); Curse (Lv 36); Shadow Ball (Lv 42); Future Sight (Lv 48); Destiny Bond (Lv 54)
478,Froslass,Ice,Ghost,70,80,70,80,70,110,480,Hex (Lv 0); Crunch (Lv 1); Ice Fang (Lv 1); Astonish (Lv 1); Destiny Bond (Lv 1); Protect (Lv 1); Headbutt (Lv 1); Double Team (Lv 1); Bite (Lv 1); Leer (Lv 1); Powder Snow (Lv 1); Ice Shard (Lv 15); Draining Kiss (Lv 20); Icy Wind (Lv 25); Frost Breath (Lv 30); Confuse Ray (Lv 35); Snowscape (Lv 40); Will-O-Wisp (Lv 47); Aurora Veil (Lv 54); Shadow Ball (Lv 61); Blizzard (Lv 68)
479,Rotom,Electric,Ghost,50,50,77,95,77,91,440,Double Team (Lv 1); Astonish (Lv 1); Thunder Shock (Lv 5); Confuse Ray (Lv 10); Charge (Lv 15); Electro Ball (Lv 20); Thunder Wave (Lv 25); Shock Wave (Lv 30); Hex (Lv 35); Substitute (Lv 40); Trick (Lv 45); Discharge (Lv 50); Uproar (Lv 55)
480,Uxie,Psychic,,75,75,130,75,130,95,580,Confusion (Lv 1); Rest (Lv 1); Swift (Lv 7); Endure (Lv 14); Psybeam (Lv 21); Imprison (Lv 28); Extrasensory (Lv 35); Amnesia (Lv 42); Psychic (Lv 49); Yawn (Lv 56); Future Sight (Lv 63); Flail (Lv 70); Memento (Lv 77); Mystical Power (Lv 84)
481,Mesprit,Psychic,,80,105,105,105,105,80,580,Confusion (Lv 1); Rest (Lv 1); Swift (Lv 7); Protect (Lv 14); Psybeam (Lv 21); Imprison (Lv 28); Extrasensory (Lv 35); Charm (Lv 42); Psychic (Lv 49); Flatter (Lv 56); Future Sight (Lv 63); Copycat (Lv 70); Healing Wish (Lv 77); Mystical Power (Lv 84)
482,Azelf,Psychic,,75,125,70,125,70,115,580,Confusion (Lv 1); Rest (Lv 1); Swift (Lv 7); Detect (Lv 14); Psybeam (Lv 21); Imprison (Lv 28); Extrasensory (Lv 35); Nasty Plot (Lv 42); Psychic (Lv 49); Uproar (Lv 56); Future Sight (Lv 63); Last Resort (Lv 70); Explosion (Lv 77); Mystical Power (Lv 84)
483,Dialga,Steel,Dragon,100,120,120,150,100,90,680,Scary Face (Lv 1); Metal Claw (Lv 1); Dragon Breath (Lv 8); Ancient Power (Lv 16); Slash (Lv 24); Flash Cannon (Lv 32); Dragon Claw (Lv 40); Aura Sphere (Lv 48); Power Gem (Lv 56); Metal Burst (Lv 64); Earth Power (Lv 72); Iron Tail (Lv 80); Roar of Time (Lv 88)
484,Palkia,Water,Dragon,90,120,100,150,120,100,680,Scary Face (Lv 1); Water Pulse (Lv 1); Dragon Breath (Lv 8); Ancient Power (Lv 16); Slash (Lv 24); Aqua Ring (Lv 32); Aura Sphere (Lv 48); Power Gem (Lv 56); Aqua Tail (Lv 64); Earth Power (Lv 72); Spacial Rend (Lv 80); Hydro Pump (Lv 88)
485,Heatran,Fire,Steel,91,90,106,130,106,77,600,Leer (Lv 1); Fire Spin (Lv 1); Metal Claw (Lv 6); Ancient Power (Lv 12); Fire Fang (Lv 18); Scary Face (Lv 24); Iron Head (Lv 30); Crunch (Lv 36); Lava Plume (Lv 42); Metal Sound (Lv 48); Earth Power (Lv 54); Heat Wave (Lv 60); Stone Edge (Lv 66); Magma Storm (Lv 72)
486,Regigigas,Normal,,110,160,110,80,110,100,670,Pound (Lv 1); Confuse Ray (Lv 1); Payback (Lv 6); Facade (Lv 12); Stomp (Lv 18); Protect (Lv 24); Knock Off (Lv 30); Mega Punch (Lv 36); Body Press (Lv 42); Wide Guard (Lv 48); Zen Headbutt (Lv 54); Heavy Slam (Lv 60); Hammer Arm (Lv 66); Giga Impact (Lv 72); Crush Grip (Lv 78)
487,Giratina,Ghost,Dragon,150,100,120,100,120,90,680,Shadow Sneak (Lv 1); Defog (Lv 1); Dragon Breath (Lv 7); Ancient Power (Lv 14); Hex (Lv 21); Slash (Lv 28); Scary Face (Lv 35); Shadow Claw (Lv 42); Pain Split (Lv 49); Aura Sphere (Lv 56); Dragon Claw (Lv 63); Earth Power (Lv 70); Shadow Force (Lv 77); Destiny Bond (Lv 84)
488,Cresselia,Psychic,,120,70,110,75,120,85,580,Confusion (Lv 1); Double Team (Lv 1); Mist (Lv 6); Aurora Beam (Lv 12); Psybeam (Lv 18); Ally Switch (Lv 24); Slash (Lv 30); Psycho Cut (Lv 36); Moonlight (Lv 42); Safeguard (Lv 48); Psychic (Lv 54); Moonblast (Lv 60); Future Sight (Lv 66); Lunar Dance (Lv 72); Lunar Blessing (Lv 72)
489,Phione,Water,,80,80,80,80,80,80,480,Water Gun (Lv 1); Charm (Lv 9); Supersonic (Lv 16); Bubble Beam (Lv 24); Acid Armor (Lv 31); Whirlpool (Lv 39); Water Pulse (Lv 46); Aqua Ring (Lv 54); Dive (Lv 61); Rain Dance (Lv 69); Take Heart (Lv 75)
490,Manaphy,Water,,100,100,100,100,100,100,600,Water Gun (Lv 1); Tail Glow (Lv 1); Heart Swap (Lv 1); Charm (Lv 9); Supersonic (Lv 16); Bubble Beam (Lv 24); Acid Armor (Lv 31); Whirlpool (Lv 39); Water Pulse (Lv 46); Aqua Ring (Lv 54); Dive (Lv 61); Rain Dance (Lv 69); Take Heart (Lv 76)
491,Darkrai,Dark,,70,90,90,135,90,125,600,Disable (Lv 1); Quick Attack (Lv 11); Hypnosis (Lv 20); Sucker Punch (Lv 29); Night Shade (Lv 38); Double Team (Lv 47); Haze (Lv 57); Dark Void (Lv 66); Nasty Plot (Lv 75); Dream Eater (Lv 84); Dark Pulse (Lv 93)
492,Shaymin,Grass,,100,100,100,100,100,100,600,Growth (Lv 1); Magical Leaf (Lv 10); Leech Seed (Lv 19); Synthesis (Lv 28); Sweet Scent (Lv 37); Play Rough (Lv 46); Worry Seed (Lv 55); Grassy Terrain (Lv 64); Energy Ball (Lv 73); Sweet Kiss (Lv 82); Healing Wish (Lv 91); Seed Flare (Lv 100)
493,Arceus,Normal,,120,120,120,120,120,120,720,Seismic Toss (Lv 1); Cosmic Power (Lv 1); Gravity (Lv 10); Earth Power (Lv 20); Hyper Voice (Lv 30); Extreme Speed (Lv 40); Healing Wish (Lv 50); Future Sight (Lv 60); Recover (Lv 70); Hyper Beam (Lv 80); Perish Song (Lv 90); Judgment (Lv 100)
494,Victini,Psychic,Fire,100,100,100,100,100,100,600,V-create (Lv 1); Quick Attack (Lv 1); Flame Charge (Lv 1); Confusion (Lv 1); Focus Energy (Lv 1); Work Up (Lv 7); Incinerate (Lv 14); Stored Power (Lv 21); Headbutt (Lv 28); Endure (Lv 35); Zen Headbutt (Lv 42); Inferno (Lv 49); Reversal (Lv 56); Searing Shot (Lv 63); Double-Edge (Lv 70); Flare Blitz (Lv 77); Overheat (Lv 84); Final Gambit (Lv 91)
495,Snivy,Grass,,45,45,55,45,55,63,308,Tackle (Lv 1); Leer (Lv 4); Vine Whip (Lv 7); Wrap (Lv 10); Growth (Lv 13); Magical Leaf (Lv 16); Leech Seed (Lv 19); Mega Drain (Lv 22); Slam (Lv 25); Leaf Blade (Lv 28); Coil (Lv 31); Giga Drain (Lv 34); Gastro Acid (Lv 37); Leaf Storm (Lv 40)
496,Servine,Grass,,60,60,75,60,75,83,413,Vine Whip (Lv 1); Tackle (Lv 1); Wrap (Lv 1); Leer (Lv 1); Growth (Lv 13); Magical Leaf (Lv 16); Leech Seed (Lv 20); Mega Drain (Lv 24); Slam (Lv 28); Leaf Blade (Lv 32); Coil (Lv 36); Giga Drain (Lv 40); Gastro Acid (Lv 44); Leaf Storm (Lv 48)
497,Serperior,Grass,,75,75,95,75,95,113,528,Vine Whip (Lv 1); Tackle (Lv 1); Wrap (Lv 1); Leer (Lv 1); Growth (Lv 13); Magical Leaf (Lv 16); Leech Seed (Lv 20); Mega Drain (Lv 24); Slam (Lv 28); Leaf Blade (Lv 32); Coil (Lv 38); Giga Drain (Lv 44); Gastro Acid (Lv 50); Leaf Storm (Lv 56)
498,Tepig,Fire,,65,63,45,45,45,45,308,Tackle (Lv 1); Tail Whip (Lv 3); Ember (Lv 7); Endure (Lv 9); Defense Curl (Lv 13); Flame Charge (Lv 15); Smog (Lv 19); Rollout (Lv 21); Take Down (Lv 25); Heat Crash (Lv 27); Assurance (Lv 31); Flamethrower (Lv 33); Head Smash (Lv 37); Roar (Lv 39); Flare Blitz (Lv 43)
499,Pignite,Fire,Fighting,90,93,55,70,55,55,418,Arm Thrust (Lv 0); Tackle (Lv 1); Tail Whip (Lv 1); Ember (Lv 1); Endure (Lv 1); Defense Curl (Lv 13); Flame Charge (Lv 15); Smog (Lv 20); Rollout (Lv 23); Take Down (Lv 28); Heat Crash (Lv 31); Assurance (Lv 36); Flamethrower (Lv 39); Head Smash (Lv 44); Roar (Lv 47); Flare Blitz (Lv 52)
500,Emboar,Fire,Fighting,110,123,65,100,65,65,528,Tackle (Lv 1); Tail Whip (Lv 1); Ember (Lv 1); Arm Thrust (Lv 1); Defense Curl (Lv 13); Flame Charge (Lv 15); Smog (Lv 20); Rollout (Lv 23); Take Down (Lv 28); Heat Crash (Lv 31); Assurance (Lv 38); Flamethrower (Lv 43); Head Smash (Lv 50); Roar (Lv 55); Flare Blitz (Lv 62)
501,Oshawott,Water,,55,55,45,63,45,45,308,Tackle (Lv 1); Tail Whip (Lv 5); Water Gun (Lv 7); Soak (Lv 11); Focus Energy (Lv 13); Razor Shell (Lv 17); Fury Cutter (Lv 19); Water Pulse (Lv 23); Aerial Ace (Lv 25); Aqua Jet (Lv 29); Encore (Lv 31); Aqua Tail (Lv 35); Retaliate (Lv 37); Swords Dance (Lv 41); Hydro Pump (Lv 43)
502,Dewott,Water,,75,75,60,83,60,60,413,Tackle (Lv 1); Tail Whip (Lv 1); Water Gun (Lv 1); Soak (Lv 1); Focus Energy (Lv 13); Razor Shell (Lv 18); Fury Cutter (Lv 21); Water Pulse (Lv 26); Aerial Ace (Lv 29); Aqua Jet (Lv 34); Encore (Lv 37); Aqua Tail (Lv 42); Retaliate (Lv 45); Swords Dance (Lv 50); Hydro Pump (Lv 53)
503,Samurott,Water,,95,100,85,108,70,70,528,Slash (Lv 0); Megahorn (Lv 1); Tackle (Lv 1); Tail Whip (Lv 1); Water Gun (Lv 1); Soak (Lv 1); Focus Energy (Lv 13); Razor Shell (Lv 18); Fury Cutter (Lv 21); Water Pulse (Lv 25); Aerial Ace (Lv 29); Aqua Jet (Lv 34); Encore (Lv 39); Aqua Tail (Lv 46); Retaliate (Lv 51); Swords Dance (Lv 58); Hydro Pump (Lv 63)
504,Patrat,Normal,,45,55,39,35,39,42,255,Tackle (Lv 1); Leer (Lv 3); Bite (Lv 6); Bide (Lv 8); Detect (Lv 11); Sand Attack (Lv 13); Crunch (Lv 16); Hypnosis (Lv 18); Super Fang (Lv 21); After You (Lv 23); Focus Energy (Lv 26); Work Up (Lv 28); Hyper Fang (Lv 31); Nasty Plot (Lv 33); Mean Look (Lv 36); Baton Pass (Lv 38); Slam (Lv 41)
505,Watchog,Normal,,60,85,69,60,69,77,420,Confuse Ray (Lv 0); Rototiller (Lv 1); Tackle (Lv 1); Leer (Lv 1); Bite (Lv 1); Low Kick (Lv 1); Bide (Lv 8); Detect (Lv 11); Sand Attack (Lv 13); Crunch (Lv 16); Hypnosis (Lv 18); Super Fang (Lv 22); After You (Lv 25); Focus Energy (Lv 29); Psych Up (Lv 32); Hyper Fang (Lv 36); Nasty Plot (Lv 39); Mean Look (Lv 43); Baton Pass (Lv 46); Slam (Lv 50)
506,Lillipup,Normal,,45,60,45,25,45,55,275,Tackle (Lv 1); Leer (Lv 1); Work Up (Lv 4); Bite (Lv 8); Retaliate (Lv 12); Baby-Doll Eyes (Lv 17); Play Rough (Lv 20); Crunch (Lv 24); Take Down (Lv 28); Helping Hand (Lv 32); Reversal (Lv 36); Roar (Lv 40); Last Resort (Lv 44); Giga Impact (Lv 48)
507,Herdier,Normal,,65,80,65,35,65,60,370,Tackle (Lv 1); Leer (Lv 1); Work Up (Lv 1); Bite (Lv 1); Retaliate (Lv 12); Baby-Doll Eyes (Lv 19); Play Rough (Lv 24); Crunch (Lv 30); Take Down (Lv 36); Helping Hand (Lv 42); Reversal (Lv 48); Roar (Lv 54); Last Resort (Lv 60); Giga Impact (Lv 66)
508,Stoutland,Normal,,85,110,90,45,90,80,500,Ice Fang (Lv 1); Fire Fang (Lv 1); Thunder Fang (Lv 1); Tackle (Lv 1); Leer (Lv 1); Work Up (Lv 1); Bite (Lv 1); Retaliate (Lv 12); Baby-Doll Eyes (Lv 19); Play Rough (Lv 24); Crunch (Lv 30); Take Down (Lv 38); Helping Hand (Lv 46); Reversal (Lv 54); Roar (Lv 62); Last Resort (Lv 70); Giga Impact (Lv 78)
509,Purrloin,Dark,,41,50,37,50,37,66,281,Scratch (Lv 1); Growl (Lv 1); Sand Attack (Lv 4); Fake Out (Lv 5); Fury Swipes (Lv 12); Torment (Lv 16); Assurance (Lv 21); Hone Claws (Lv 24); Sucker Punch (Lv 28); Nasty Plot (Lv 32); Night Slash (Lv 36); Play Rough (Lv 40)
510,Liepard,Dark,,64,88,50,88,50,106,446,Scratch (Lv 1); Growl (Lv 1); Sand Attack (Lv 1); Fake Out (Lv 1); Fury Swipes (Lv 12); Torment (Lv 16); Assurance (Lv 23); Hone Claws (Lv 28); Sucker Punch (Lv 34); Nasty Plot (Lv 40); Night Slash (Lv 46); Play Rough (Lv 52)
511,Pansage,Grass,,50,53,48,53,48,64,316,Scratch (Lv 1); Play Nice (Lv 1); Leer (Lv 4); Lick (Lv 7); Vine Whip (Lv 10); Fury Swipes (Lv 13); Leech Seed (Lv 16); Bite (Lv 19); Seed Bomb (Lv 22); Torment (Lv 25); Fling (Lv 28); Acrobatics (Lv 31); Grass Knot (Lv 34); Recycle (Lv 37); Natural Gift (Lv 40); Crunch (Lv 43)
512,Simisage,Grass,,75,98,63,98,63,101,498,Leer (Lv 1); Lick (Lv 1); Fury Swipes (Lv 1); Seed Bomb (Lv 1)
513,Pansear,Fire,,50,53,48,53,48,64,316,Scratch (Lv 1); Play Nice (Lv 1); Leer (Lv 4); Lick (Lv 7); Incinerate (Lv 10); Fury Swipes (Lv 13); Yawn (Lv 16); Bite (Lv 19); Flame Burst (Lv 22); Amnesia (Lv 25); Fling (Lv 28); Acrobatics (Lv 31); Fire Blast (Lv 34); Recycle (Lv 37); Natural Gift (Lv 40); Crunch (Lv 43)
514,Simisear,Fire,,75,98,63,98,63,101,498,Leer (Lv 1); Lick (Lv 1); Fury Swipes (Lv 1); Flame Burst (Lv 1)
